Flight_ID,Airline,Departure_Airport,Arrival_Airport,Flight_Date,Scheduled_Departure_Time,Actual_Departure_Delay_Min,Scheduled_Arrival_Time,Arrival_Delay_Min,Flight_Duration_Min,Distance_KM,Weather_Condition,Delay_Reason,Gate_Number,Terminal,Passenger_Count,Day_of_Week,Month,On_Time_Status
FL1000,Emirates,BOM,DEL,21-02-2025,01:23:49,102,00:19:51,120,330,4072,Fog,Technical,G21,T1,152,Tuesday,December,Delayed
FL1001,Emirates,BOM,DXB,22-10-2025,23:13:31,121,03:01:24,129,274,4726,Cloudy,Weather,G11,T3,137,Thursday,January,Delayed
FL1002,Air India,DEL,BOM,08-08-2025,05:02:37,116,04:11:52,141,211,430,Rain,Security,G22,T3,307,Monday,September,Delayed
FL1003,Emirates,BLR,DXB,23-07-2025,14:00:50,87,17:43:07,120,353,2733,Cloudy,Crew Issue,G21,T1,210,Thursday,October,Delayed
FL1004,Qatar Airways,HYD,SIN,21-09-2025,22:49:04,57,10:18:55,68,312,3204,Clear,Technical,G49,T3,108,Thursday,June,Delayed
FL1005,Air India,HYD,BOM,23-04-2026,16:39:28,169,12:59:03,186,247,1275,Fog,Weather,G15,T1,239,Thursday,February,Delayed
FL1006,SpiceJet,CCU,SIN,18-03-2025,07:06:57,174,02:39:55,207,114,1567,Cloudy,Air Traffic,G3,T1,184,Saturday,August,Delayed
FL1007,IndiGo,BOM,HYD,23-12-2025,01:03:00,20,08:57:26,18,226,2735,Cloudy,Air Traffic,G25,T3,63,Friday,June,Delayed
FL1008,IndiGo,BLR,DXB,29-08-2024,03:27:36,8,05:12:09,23,112,1663,Clear,Late Aircraft,G28,T1,313,Sunday,May,On-Time
FL1009,Air India,BOM,SIN,31-12-2024,21:59:04,174,20:57:01,198,265,3452,Clear,Crew Issue,G36,T2,99,Thursday,November,Delayed
FL1010,SpiceJet,CCU,BOM,24-02-2026,02:59:49,103,23:42:56,96,61,1321,Fog,Technical,G6,T3,103,Wednesday,December,Delayed
FL1011,Emirates,BOM,CCU,20-04-2026,14:56:34,105,15:10:40,98,250,461,Rain,Security,G10,T3,319,Tuesday,March,Delayed
FL1012,SpiceJet,SIN,BLR,25-07-2024,07:20:29,94,14:42:55,131,330,4851,Cloudy,Technical,G14,T3,264,Wednesday,January,Delayed
